Game #,Round,Away ID,Away Num,Away Abbr,Away Team,Home ID,Home Num,Home Abbr,Home Team,Matchup
316,23,845,12,MGG,"Minnesota Golden Gophers",847,51,OCW,"Orange County Weststars","MGG @ OCW"
317,23,850,19,RIC,"Richfield Oracles",846,26,NBK,"North Bay Knights","RIC @ NBK"
318,23,848,17,PIT,"Pitt Intramurals",851,66,ROC,"Rockford Villains","PIT @ ROC"
319,23,852,60,SHS,"South Hills Shindigaz",849,30,PRO,"Providence Sea Bass","SHS @ PRO"
320,23,854,21,SUM,"Sumter Trash",856,24,TEG,"Tegucigalpa Ticklepuss","SUM @ TEG"
321,23,853,20,SVF,"Sugar Valley Firebirds",858,15,VHV,"Valhalla Vikings","SVF @ VHV"
322,23,859,63,WDY,"Woodlynne Rats",855,28,TAI,"Taipei Typhoons","WDY @ TAI"
323,24,831,2,AUT,"Autobahn",837,25,GRH,"Grand River Herons","AUT @ GRH"
324,24,832,65,BAR,"Barrie Dolts",838,37,HAM,"Hamilton Mustangs","BAR @ HAM"
325,24,839,9,HIG,"Highland Wolf",833,49,BAY,"Baytown Thunder","HIG @ BAY"
326,24,834,58,BFC,"Betty Ford Clinic",840,50,ING,"Inglewood Monstars","BFC @ ING"
327,24,841,14,ITA,"Italy EBC",835,67,DHG,"Devil Hill Goblins","ITA @ DHG"
328,24,836,18,ETI,"Easter Island Stoneheads",842,39,MHA,"Maryhill Alumni","ETI @ MHA"
329,24,843,54,KAR,"Karolina Kaos",845,12,MGG,"Minnesota Golden Gophers","KAR @ MGG"
330,24,838,37,HAM,"Hamilton Mustangs",844,13,MHT,"Minhattrick Swayzes","HAM @ MHT"
331,24,848,17,PIT,"Pitt Intramurals",846,26,NBK,"North Bay Knights","PIT @ NBK"
332,24,850,19,RIC,"Richfield Oracles",847,51,OCW,"Orange County Weststars","RIC @ OCW"
333,24,852,60,SHS,"South Hills Shindigaz",851,66,ROC,"Rockford Villains","SHS @ ROC"
334,24,849,30,PRO,"Providence Sea Bass",856,24,TEG,"Tegucigalpa Ticklepuss","PRO @ TEG"
335,24,854,21,SUM,"Sumter Trash",858,15,VHV,"Valhalla Vikings","SUM @ VHV"
336,24,857,29,TBP,"Thunder Bay Pike",859,63,WDY,"Woodlynne Rats","TBP @ WDY"
337,25,836,18,ETI,"Easter Island Stoneheads",831,2,AUT,"Autobahn","ETI @ AUT"
338,25,837,25,GRH,"Grand River Herons",832,65,BAR,"Barrie Dolts","GRH @ BAR"
339,25,833,49,BAY,"Baytown Thunder",838,37,HAM,"Hamilton Mustangs","BAY @ HAM"
340,25,839,9,HIG,"Highland Wolf",834,58,BFC,"Betty Ford Clinic","HIG @ BFC"
341,25,835,67,DHG,"Devil Hill Goblins",840,50,ING,"Inglewood Monstars","DHG @ ING"
342,25,841,14,ITA,"Italy EBC",845,12,MGG,"Minnesota Golden Gophers","ITA @ MGG"
343,25,842,39,MHA,"Maryhill Alumni",844,13,MHT,"Minhattrick Swayzes","MHA @ MHT"
344,25,846,26,NBK,"North Bay Knights",847,51,OCW,"Orange County Weststars","NBK @ OCW"
345,25,848,17,PIT,"Pitt Intramurals",852,60,SHS,"South Hills Shindigaz","PIT @ SHS"
346,25,850,19,RIC,"Richfield Oracles",856,24,TEG,"Tegucigalpa Ticklepuss","RIC @ TEG"
347,25,851,66,ROC,"Rockford Villains",858,15,VHV,"Valhalla Vikings","ROC @ VHV"
348,25,849,30,PRO,"Providence Sea Bass",857,29,TBP,"Thunder Bay Pike","PRO @ TBP"
349,25,853,20,SVF,"Sugar Valley Firebirds",855,28,TAI,"Taipei Typhoons","SVF @ TAI"
350,25,843,54,KAR,"Karolina Kaos",854,21,SUM,"Sumter Trash","KAR @ SUM"
351,26,831,2,AUT,"Autobahn",835,67,DHG,"Devil Hill Goblins","AUT @ DHG"
352,26,832,65,BAR,"Barrie Dolts",836,18,ETI,"Easter Island Stoneheads","BAR @ ETI"
353,26,837,25,GRH,"Grand River Herons",833,49,BAY,"Baytown Thunder","GRH @ BAY"
354,26,834,58,BFC,"Betty Ford Clinic",838,37,HAM,"Hamilton Mustangs","BFC @ HAM"
355,26,839,9,HIG,"Highland Wolf",845,12,MGG,"Minnesota Golden Gophers","HIG @ MGG"
356,26,840,50,ING,"Inglewood Monstars",844,13,MHT,"Minhattrick Swayzes","ING @ MHT"
357,26,841,14,ITA,"Italy EBC",847,51,OCW,"Orange County Weststars","ITA @ OCW"
358,26,842,39,MHA,"Maryhill Alumni",848,17,PIT,"Pitt Intramurals","MHA @ PIT"
359,26,846,26,NBK,"North Bay Knights",856,24,TEG,"Tegucigalpa Ticklepuss","NBK @ TEG"
360,26,847,51,OCW,"Orange County Weststars",858,15,VHV,"Valhalla Vikings","OCW @ VHV"
361,26,852,60,SHS,"South Hills Shindigaz",857,29,TBP,"Thunder Bay Pike","SHS @ TBP"
362,26,850,19,RIC,"Richfield Oracles",855,28,TAI,"Taipei Typhoons","RIC @ TAI"
363,26,851,66,ROC,"Rockford Villains",854,21,SUM,"Sumter Trash","ROC @ SUM"
364,26,849,30,PRO,"Providence Sea Bass",853,20,SVF,"Sugar Valley Firebirds","PRO @ SVF"
365,27,834,58,BFC,"Betty Ford Clinic",831,2,AUT,"Autobahn","BFC @ AUT"
366,27,835,67,DHG,"Devil Hill Goblins",832,65,BAR,"Barrie Dolts","DHG @ BAR"
367,27,833,49,BAY,"Baytown Thunder",836,18,ETI,"Easter Island Stoneheads","BAY @ ETI"
368,27,837,25,GRH,"Grand River Herons",845,12,MGG,"Minnesota Golden Gophers","GRH @ MGG"
369,27,838,37,HAM,"Hamilton Mustangs",844,13,MHT,"Minhattrick Swayzes","HAM @ MHT"
370,27,839,9,HIG,"Highland Wolf",847,51,OCW,"Orange County Weststars","HIG @ OCW"
371,27,840,50,ING,"Inglewood Monstars",848,17,PIT,"Pitt Intramurals","ING @ PIT"
372,27,841,14,ITA,"Italy EBC",846,26,NBK,"North Bay Knights","ITA @ NBK"
373,27,842,39,MHA,"Maryhill Alumni",856,24,TEG,"Tegucigalpa Ticklepuss","MHA @ TEG"
374,27,843,54,KAR,"Karolina Kaos",858,15,VHV,"Valhalla Vikings","KAR @ VHV"
375,27,857,29,TBP,"Thunder Bay Pike",850,19,RIC,"Richfield Oracles","TBP @ RIC"
376,27,852,60,SHS,"South Hills Shindigaz",855,28,TAI,"Taipei Typhoons","SHS @ TAI"
377,27,854,21,SUM,"Sumter Trash",853,20,SVF,"Sugar Valley Firebirds","SUM @ SVF"
378,27,859,63,WDY,"Woodlynne Rats",851,66,ROC,"Rockford Villains","WDY @ ROC"
